"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",1
"7",1
"8",1
"9",1
"10",1
"11",0
"12",0
"13",1
"14",0
"15",1
"16",1
"17",1
"18",0
"19",1
"20",0
"21",0
"22",1
"23",1
"24",0
"25",0
"26",0
"27",1
"28",1
"29",1
"30",0
"31",0
"32",1
"33",1
"34",0
"35",1
"36",0
"37",0
"38",0
"39",1
"40",1
"41",0
"42",1
"43",0
"44",1
"45",1
"46",1
"47",1
"48",1
"49",0
"50",0
"51",1
"52",1
"53",0
"54",1
"55",1
"56",0
"57",1
"58",1
"59",1
"60",1
"61",0
"62",1
"63",0
"64",1
"65",1
"66",1
"67",0
"68",0
"69",1
"70",0
"71",0
"72",1
"73",0
"74",1
"75",1
"76",0
"77",1
"78",1
"79",1
"80",0
"81",1
"82",0
"83",1
"84",0
"85",0
"86",0
"87",0
"88",1
"89",1
"90",1
"91",0
"92",1
"93",0
"94",0
"95",0
"96",1
"97",0
"98",1
"99",1
"100",1
"101",1
"102",1
"103",0
"104",0
"105",0
"106",0
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",0
"114",0
"115",1
"116",1
"117",0
"118",1
"119",0
"120",0
"121",0
"122",1
"123",0
"124",0
"125",0
"126",0
"127",1
"128",0
"129",0
"130",0
"131",0
"132",0
"133",1
"134",0
"135",0
"136",1
"137",0
"138",0
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",0
"149",0
"150",0
"151",0
"152",1
"153",1
"154",1
"155",0
"156",1
"157",0
"158",0
"159",0
"160",1
"161",1
"162",1
"163",0
"164",1
"165",0
"166",1
"167",1
"168",1
"169",1
"170",0
"171",1
"172",1
"173",0
"174",0
"175",0
"176",1
"177",0
"178",0
"179",1
"180",1
"181",0
"182",0
"183",1
"184",1
"185",1
"186",0
"187",1
"188",1
"189",0
"190",0
"191",1
"192",0
"193",1
"194",1
"195",0
"196",1
"197",0
"198",0
"199",1
"200",1
"201",0
"202",0
"203",1
"204",0
"205",1
"206",1
"207",1
"208",1
"209",1
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",1
"218",0
"219",0
"220",0
"221",1
"222",0
"223",1
"224",1
"225",1
"226",0
"227",0
"228",1
"229",1
"230",1
"231",0
"232",1
"233",0
"234",1
"235",1
"236",0
"237",0
"238",1
"239",1
"240",1
"241",0
"242",1
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",1
"251",0
"252",1
"253",0
"254",1
"255",1
"256",0
"257",0
"258",1
"259",1
"260",0
"261",1
"262",1
"263",0
"264",1
"265",0
"266",1
"267",0
"268",0
"269",1
"270",0
"271",0
"272",1
"273",0
"274",0
"275",1
"276",0
"277",1
"278",0
"279",1
"280",0
"281",0
"282",0
"283",0
"284",0
"285",1
"286",0
"287",1
"288",1
"289",0
"290",0
"291",1
"292",1
"293",0
"294",1
"295",1
"296",0
"297",0
"298",1
"299",1
"300",1
"301",0
"302",1
"303",0
"304",1
"305",1
"306",1
"307",0
"308",1
"309",1
"310",0
"311",1
"312",0
"313",0
"314",1
"315",0
"316",0
"317",0
"318",1
"319",1
"320",1
"321",1
"322",1
"323",0
"324",1
"325",0
"326",0
"327",1
"328",0
"329",0
"330",0
"331",1
"332",0
"333",1
"334",1
"335",0
"336",1
"337",1
"338",0
"339",0
"340",1
"341",1
"342",1
"343",1
"344",0
"345",1
"346",0
"347",0
"348",1
"349",1
"350",1
"351",0
"352",0
"353",1
"354",1
"355",0
"356",0
"357",1
"358",0
"359",1
"360",1
"361",0
"362",0
"363",0
"364",1
"365",1
"366",0
"367",1
"368",1
"369",0
"370",1
"371",1
"372",1
"373",1
"374",0
"375",0
"376",1
"377",1
"378",1
"379",0
"380",0
"381",0
"382",0
"383",1
"384",1
"385",1
"386",0
"387",1
"388",0
"389",1
"390",0
"391",0
"392",0
"393",0
"394",1
"395",0
"396",1
"397",0
"398",0
"399",1
"400",0
"401",0
"402",0
"403",1
"404",0
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",0
"412",1
"413",1
"414",0
"415",1
"416",1
"417",0
"418",1
"419",0
"420",0
"421",1
"422",0
"423",0
"424",0
"425",1
"426",1
"427",0
"428",1
"429",0
"430",0
"431",0
"432",0
"433",0
"434",1
"435",1
"436",0
"437",1
"438",0
"439",0
"440",1
"441",1
"442",0
"443",0
"444",1
"445",1
"446",0
"447",0
"448",1
"449",1
"450",1
"451",0
"452",1
"453",1
"454",1
"455",1
"456",1
"457",1
"458",0
"459",0
"460",0
"461",1
"462",0
"463",1
"464",1
"465",0
"466",0
"467",0
"468",0
"469",1
"470",0
"471",0
"472",0
"473",0
"474",1
"475",0
"476",0
"477",1
"478",0
"479",1
"480",1
"481",0
"482",1
"483",1
"484",1
"485",1
"486",0
"487",0
"488",1
"489",1
"490",0
"491",0
"492",1
"493",0
"494",0
"495",0
"496",1
"497",1
"498",0
"499",0
"500",1
